latitud,longitud,profundidad
-20.42,181.96,649
-19.68,184.31,195
-17.94,181.49,537
-23.55,180.8,349
-19.26,184.42,223
-22.06,180.6,584
-15.31,185.8,152
-17.7,181.7,450
-19.73,182.4,375
-19.06,182.45,477
-20.65,181.4,582
-17.9,181.5,573
-17.7,182.2,445
-23.54,179.93,574
-17.7,185,383
-17.94,181.51,601
-30.64,181.2,175
-16.9,185.72,135
-10.72,165.99,195
-18.55,182.23,563
-22.7,183.3,180
-21,183.2,296
-17.02,182.93,406
-19.51,183.97,280
-15.43,185.19,249
-17.91,181.48,555
-17.1,182.8,390
-30.3,180.8,275
-25.6,180.3,440
-20.7,186.3,80
-16.4,182.73,391
-21.6,180.5,595
-17.9,181.5,589
-28,182,199
-22.12,180.49,532
-21.62,182.4,350
-19.7,182.44,397
-18.5,185.4,243
-21.03,180.78,638
-17.8,181.2,530
-17.82,181.27,538
-25.06,182.8,133
-18.14,181.71,574
-23.49,180.06,530
-17.86,181.3,614
-17.95,181.37,642
-17.97,181.66,626
-17.66,181.4,585
-21.16,182.4,260
-20.14,181.6,587
-19.21,184.7,197
-16.98,185.61,108
-17.98,180.5,626
-20.2,180.9,627
-15.2,184.68,99
-15.03,182.29,399
-17.84,181.48,542
-20.45,181.85,534
-24.08,179.5,605
-28.25,181.71,226
-24.36,182.84,148
-23.8,179.9,498
-17.68,181.36,515
-17.32,181.03,497
-17.46,181.32,573
-23.44,182.93,158
-17.04,186.8,70
-18.4,183.4,343
-14.85,184.87,294
-17.9,181.3,593
-17.61,181.2,537
-17.14,185.31,223
-17.81,181.82,598
-19.22,182.54,570
-21.79,185,74
-17.8,181.32,539
-18.89,181.24,655
-17.6,181.5,548
-17.2,182.9,383
-25.14,178.42,554
-16.43,186.73,75
-17.78,185.33,223
-19.1,184.52,230
-21.77,181,618
-18.07,181.65,593
-20.21,181.9,576
-19.13,184.97,210
-22.1,180.4,603
-22.14,179.62,587
-15.7,185.1,70
-19.4,182.29,326
-15.85,185.9,121
-17.56,181.23,580
-15.18,185.93,77
-15.65,185.17,315
-17.93,181.89,567
-17.74,181.25,559
-18.4,181.77,600
-23.47,179.95,543
-19.69,184.23,223
-17.99,181.59,595
-20.62,181.03,650
-10.98,166.32,211
-18.75,182.35,554
-20.1,182.16,489
-21.81,181.71,323
-15.43,186.3,123
-19.72,169.71,271
-15.44,185.26,224
-19.44,183.5,293
-16.85,182.31,388
-26.13,178.31,609
-18.96,169.48,248
-19.3,183.84,517
-17.05,181.22,527
-18.84,184.16,210
-14.31,173.5,614
-20.1,184.4,186
-11.8,165.8,112
-11.75,166.07,69
-20.3,183,375
-20.36,181.19,637
-20.2,182.3,533
-26.67,182.4,186
-18.31,182.39,342
-20.37,182.1,397
-21.55,182.9,207
-19.15,169.5,150
-20.32,180.88,680
-23.81,179.36,521
-19.41,183.05,300
-20.16,181.99,504
-22.32,180.54,565
-19.3,180.6,671
-21.04,181.2,483
-27.22,182.28,65
-17.98,181.58,590
-15.83,182.51,423
-17.82,181.49,573
-17.46,181.9,417
-23.7,179.6,646
-33.2,181.6,153
-17.47,180.96,546
-23.45,180.23,520
-16.04,183.54,384
-24.03,180.22,508
-19.41,182.3,589
-15.96,166.69,150
-15.29,166.9,100
-23.12,184.42,104
-23.65,184.46,93
-25.04,180.97,393
-19.92,183.91,264
-19.6,181.87,597
-25.25,179.86,491
-21.46,181.02,584
-17.4,186.54,85
-20.48,181.38,556
-17.88,180.58,622
-18.44,181.04,624
-18.69,169.1,218
-17.61,183.32,356
-20.61,182.44,518
-13.9,167.18,221
-26.1,182.5,133
-24.89,179.67,498
-18.04,181.84,611
-10.8,165.8,175
-30.63,180.9,334
-19.2,184.37,220
-26.06,180.05,432
-20.87,181.7,560
-22.85,181.37,397
-17.08,185.96,180
-20.91,181.57,530
-18.85,182.2,501
-18.4,184.84,221
-21.2,181.4,560
-11.7,166.3,139
-22.24,180.28,601
-17.46,181.42,524
-17.44,181.33,545
-24.71,179.85,477
-19.57,184.47,202
-23.47,180.21,553
-20.77,181.16,568
-18.98,182.32,442
-21.4,180.74,613
-17.03,185.74,178
-12.37,166.93,291
-17.7,188.1,45
-17.47,179.59,622
-15.94,184.95,306
-25.82,179.33,600
-15.49,186.04,94
-24.12,180.08,493
-21.37,180.67,593
-24.2,179.2,530
-11.55,166.2,96
-23.54,180.04,564
-20.12,183.4,284
-19.66,184.31,170
-15.41,186.44,69
-19.9,178.9,81
-19.19,183.51,307
-21.3,180.82,624
-23.83,182.56,229
-24.81,180,452
-17.82,181.83,640
-24.6,183.5,67
-22.3,181.9,309
-20.41,181.74,538
-19.67,182.18,360
